id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,Team,Season,League
8935,Pedri,37,2941,4,2.5104309488087893,5,7.80679078027606,24,70,3,0,M S,Barcelona,4,2.5104309488087893,31.42633649148047,23.62103444710374,Barcelona,2024,La Liga
11025,Pablo Torre,10,302,3,0.29547323286533356,1,0.9360514245927334,6,8,0,0,M S,Barcelona,3,0.29547323286533356,3.322905655950308,2.8765976540744305,Barcelona,2024,La Liga
6433,Jules Koundé,32,2606,2,2.743822293356061,3,4.134010413661599,18,32,4,0,D S,Barcelona,2,2.743822293356061,24.09632397815585,20.274256374686956,Barcelona,2024,La Liga
7781,Frenkie de Jong,26,1105,2,1.0243200585246086,2,2.302895499393344,5,21,3,0,M S,Barcelona,2,1.0243200585246086,11.636852502822876,8.715320311486721,Barcelona,2024,La Liga
8045,Eric Garcia,29,1532,2,2.354891483671963,3,1.012534737586975,14,7,4,0,D M S,Barcelona,2,2.354891483671963,12.874616280198097,12.290382117033005,Barcelona,2024,La Liga
10953,Pau Victor,21,273,2,2.9672163296490908,1,0.8769846558570862,14,8,2,0,F S,Barcelona,2,2.9672163296490908,4.459078095853329,0.7532445453107357,Barcelona,2024,La Liga
8091,Ronald Araújo,12,771,1,1.166387401521206,1,0.4866340160369873,4,4,2,0,D S,Barcelona,1,1.166387401521206,4.386615861207247,3.8932461254298687,Barcelona,2024,La Liga
9804,Gavi,26,1079,1,1.0601166114211082,1,1.6527631673961878,11,14,4,0,F M S,Barcelona,1,1.0601166114211082,7.769327191635966,5.841560788452625,Barcelona,2024,La Liga
11151,Marc Casadó,23,1640,1,0.9119365168735385,3,1.634875988587737,14,9,2,1,M S,Barcelona,1,0.9119365168735385,14.537989675998688,13.50816598907113,Barcelona,2024,La Liga
12821,Gerard Martín,28,1018,1,0.6436223732307553,3,1.2958451379090548,7,12,2,0,D S,Barcelona,1,0.6436223732307553,7.371043564751744,6.111580042168498,Barcelona,2024,La Liga
200,Andreas Christensen,5,239,0,0.0332164540886879,0,0.040220171213150024,1,1,3,0,D S,Barcelona,0,0.0332164540886879,1.4766459465026855,1.4766459465026855,Barcelona,2024,La Liga
1244,Wojciech Szczesny,15,1350,0,0,0,0,0,0,1,0,GK,Barcelona,0,0,5.236224640160799,5.236224640160799,Barcelona,2024,La Liga
2090,Marc-André ter Stegen,8,677,0,0,0,0,0,0,0,0,GK,Barcelona,0,0,3.72348815202713,3.72348815202713,Barcelona,2024,La Liga
2484,Iñigo Martínez,28,2505,0,0.5136058144271374,4,2.2479534801095724,13,16,5,0,D,Barcelona,0,0.5136058144271374,20.049223262816668,19.11283127591014,Barcelona,2024,La Liga
7287,Iñaki Peña,16,1393,0,0,0,0,0,0,1,0,GK S,Barcelona,0,0,3.9061195850372314,3.9061195850372314,Barcelona,2024,La Liga
7967,Anssumane Fati,6,228,0,1.1018417924642563,0,0.1238601952791214,12,4,1,0,M S,Barcelona,0,1.1018417924642563,1.8863119632005692,0.8099945038557053,Barcelona,2024,La Liga
9805,Álex Balde,32,2303,0,0.5467977644875646,4,3.6562538016587496,12,26,2,0,D S,Barcelona,0,0.5467977644875646,19.236092265695333,17.1140445061028,Barcelona,2024,La Liga
11634,Daniel Rodríguez,1,37,0,0.04132027551531792,0,0,2,0,0,0,M,Barcelona,0,0.04132027551531792,0.3060602843761444,0.2647400200366974,Barcelona,2024,La Liga
12005,Pau Cubarsí,35,2631,0,0.9356927424669266,3,1.5360766984522343,8,9,3,0,D S,Barcelona,0,0.9356927424669266,17.255911896005273,17.147910771891475,Barcelona,2024,La Liga
12171,Hector Fort,17,552,0,0.2694935295730829,0,1.3017480783164501,6,9,2,0,D S,Barcelona,0,0.2694935295730829,4.381688091903925,3.519320610910654,Barcelona,2024,La Liga
12820,Marc Bernal,3,256,0,0.05606347694993019,0,0.0110369473695755,2,1,2,0,M,Barcelona,0,0.05606347694993019,1.5139116048812866,1.4468111991882324,Barcelona,2024,La Liga
12823,Sergi Domínguez,3,177,0,0,0,0,0,0,1,0,D S,Barcelona,0,0,2.0779144912958145,2.0779144912958145,Barcelona,2024,La Liga
6531,Alexander Sørloth,35,1525,20,20.454832896590233,2,1.304560586810112,79,13,4,0,F S,Atletico Madrid,19,19.711555287241936,21.53670882433653,2.1480457819998264,Atletico_Madrid,2024,La Liga
10846,Julián Álvarez,37,2543,17,14.1592972795479,4,6.458727004006505,72,41,5,0,F M S,Atletico Madrid,13,11.186186812352389,25.16218076646328,9.433768885210156,Atletico_Madrid,2024,La Liga
2270,Antoine Griezmann,38,2514,8,8.413829022087157,7,8.116289479658008,50,48,2,0,F M S,Atletico Madrid,7,6.927273713983595,19.78995059709996,9.18062005378306,Atletico_Madrid,2024,La Liga
2275,Ángel Correa,31,721,4,5.39614194072783,1,2.083751233294606,34,14,3,1,F S,Atletico Madrid,4,5.39614194072783,10.365330005064607,3.893400449305773,Atletico_Madrid,2024,La Liga
1145,Rodrigo de Paul,34,2137,3,1.467378824017942,5,5.930679908953607,19,42,7,0,M S,Atletico Madrid,3,1.467378824017942,17.426378836855292,13.48079302161932,Atletico_Madrid,2024,La Liga
9040,Conor Gallagher,32,1637,3,3.0007524248212576,3,1.3112464919686317,23,12,2,0,M S,Atletico Madrid,3,3.0007524248212576,7.897032497450709,4.44360277056694,Atletico_Madrid,2024,La Liga
